,precision,recall,f1-score,support
"CD16-negative, CD56-bright natural killer cell, human",0.8,0.23529411764705882,0.36363636363636365,68.0
"CD16-positive, CD56-dim natural killer cell, human",0.9310935893040795,0.9641462548810792,0.9473317056156261,2817.0
cell,0.9019607843137255,0.7419354838709677,0.8141592920353983,62.0
"central memory CD4-positive, alpha-beta T cell",0.9120162016201621,0.9388464211257818,0.9252368451090058,4317.0
"central memory CD8-positive, alpha-beta T cell",0.9251769464105156,0.9214501510574018,0.9233097880928355,993.0
class switched memory B cell,0.8141592920353983,0.8625,0.8376327769347496,320.0
classical monocyte,0.990551776266062,0.9961991638160396,0.9933674436232708,2631.0
conventional dendritic cell,0.9906976744186047,0.9594594594594594,0.9748283752860412,222.0
"effector memory CD4-positive, alpha-beta T cell",0.7882932166301969,0.8272101033295063,0.8072829131652661,1742.0
"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",0.9204545454545454,0.5159235668789809,0.6612244897959184,157.0
"effector memory CD8-positive, alpha-beta T cell",0.7766699900299102,0.7644749754661433,0.7705242334322453,1019.0
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.8989751098096632,0.8788167938931297,0.8887816646562123,2096.0
gamma-delta T cell,0.9064976228209192,0.9470198675496688,0.9263157894736842,604.0
megakaryocyte,0.9932432432432432,0.91875,0.9545454545454546,160.0
memory B cell,0.7803468208092486,0.6923076923076923,0.7336956521739131,195.0
mucosal invariant T cell,0.9261904761904762,0.8663697104677061,0.8952819332566168,449.0
naive B cell,0.9552845528455285,0.9853249475890985,0.9700722394220846,954.0
non-classical monocyte,0.9941747572815534,0.973384030418251,0.983669548511047,526.0
plasmacytoid dendritic cell,1.0,0.987012987012987,0.9934640522875817,77.0
regulatory T cell,0.8780487804878049,0.5023255813953489,0.6390532544378699,215.0
unswitched memory B cell,0.8109965635738832,0.7239263803680982,0.7649918962722853,326.0
accuracy,0.9079699248120301,0.9079699248120301,0.9079699248120301,0.9079699248120301
macro avg,0.8997539020735963,0.8191751280254477,0.8461145577030225,19950.0
weighted avg,0.9076693998825899,0.9079699248120301,0.9059899903160235,19950.0
