Class,Top Positive Genes
"CD16-negative, CD56-bright natural killer cell, human","XCL1(0.15), XCL2(0.15), NCR1(0.10), CMC1(0.08), GZMK(0.08)"
"CD16-positive, CD56-dim natural killer cell, human","SPON2(0.14), TYROBP(0.13), CLIC3(0.11), SH2D1B(0.11), GNLY(0.11)"
cell,"TYMS(0.27), TYMP(0.24), MKI67(0.18), GZMB(0.04), FGFBP2(0.04)"
"central memory CD4-positive, alpha-beta T cell","LEF1(0.13), AB_CD4(0.13), TCF7(0.12), LTB(0.10), SELL(0.08)"
"central memory CD8-positive, alpha-beta T cell","LINC02446(0.40), CD8B(0.32), AB_CD8(0.20), CD8A(0.15), S100B(0.11)"
class switched memory B cell,"LINC01781(0.12), JCHAIN(0.10), BANK1(0.09), IGHA1(0.08), POU2AF1(0.08)"
classical monocyte,"S100A8(0.12), S100A9(0.12), S100A12(0.11), VCAN(0.10), LGALS2(0.10)"
conventional dendritic cell,"FCER1A(0.20), CLEC10A(0.13), HLA-DQA1(0.07), HLA-DRB1(0.07), HLA-DQB1(0.07)"
"effector memory CD4-positive, alpha-beta T cell","LDHB(0.21), LTB(0.20), ANXA1(0.13), TCF7(0.11), AQP3(0.11)"
"effector memory CD4-positive, alpha-beta T cell, terminally differentiated","FGFBP2(0.13), GZMH(0.13), GNLY(0.11), GZMB(0.11), S100A10(0.09)"
"effector memory CD8-positive, alpha-beta T cell","GZMK(0.21), CMC1(0.14), AB_CD8(0.14), CST7(0.14), CD8B(0.13)"
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated","GZMH(0.19), GNLY(0.18), FGFBP2(0.18), CD8B(0.16), GZMB(0.16)"
gamma-delta T cell,"TRDV2(0.40), TRGV9(0.34), TRDC(0.21), S100B(0.07), CST7(0.07)"
megakaryocyte,"PPBP(0.06), PF4(0.05), TMEM40(0.05), CAVIN2(0.05), GNG11(0.05)"
memory B cell,"IGHG2(0.07), RALGPS2(0.06), AL928742.1(0.06), FCRLA(0.06), FCRL3(0.05)"
mucosal invariant T cell,"KLRB1(0.23), TRAV1-2(0.18), IL7R(0.16), GZMK(0.13), AQP3(0.12)"
naive B cell,"TCL1A(0.19), PLPP5(0.14), IGHM(0.12), FCER2(0.12), TCL1B(0.12)"
non-classical monocyte,"CDKN1C(0.08), MS4A7(0.07), PECAM1(0.07), FCGR3A(0.07), HCK(0.07)"
plasmacytoid dendritic cell,"SERPINF1(0.07), LILRA4(0.07), LRRC26(0.07), CLEC4C(0.06), PTPRS(0.06)"
regulatory T cell,"TIGIT(0.12), FOXP3(0.11), DUSP4(0.10), TNFRSF18(0.10), LTB(0.09)"
unswitched memory B cell,"LINC01857(0.11), TCF4(0.07), CD24(0.07), LINC01781(0.06), IGHA1(0.06)"
