,precision,recall,f1-score,support
"CD16-negative, CD56-bright natural killer cell, human",0.5,0.21428571428571427,0.3,14.0
"CD16-positive, CD56-dim natural killer cell, human",0.9252669039145908,0.9219858156028369,0.9236234458259325,564.0
cell,0.7,0.5833333333333334,0.6363636363636364,12.0
"central memory CD4-positive, alpha-beta T cell",0.8616071428571429,0.8945538818076477,0.877771461057419,863.0
"central memory CD8-positive, alpha-beta T cell",0.8979591836734694,0.8844221105527639,0.8911392405063291,199.0
class switched memory B cell,0.6428571428571429,0.5625,0.6,64.0
classical monocyte,0.9810964083175804,0.9866920152091255,0.9838862559241706,526.0
conventional dendritic cell,1.0,0.9545454545454546,0.9767441860465116,44.0
"effector memory CD4-positive, alpha-beta T cell",0.7155172413793104,0.7134670487106017,0.7144906743185079,349.0
"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",0.7058823529411765,0.3870967741935484,0.5,31.0
"effector memory CD8-positive, alpha-beta T cell",0.6878306878306878,0.6372549019607843,0.6615776081424937,204.0
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.8387096774193549,0.8687350835322196,0.8534583821805393,419.0
gamma-delta T cell,0.8796992481203008,0.9669421487603306,0.9212598425196851,121.0
megakaryocyte,0.9032258064516129,0.875,0.8888888888888888,32.0
memory B cell,0.4782608695652174,0.28205128205128205,0.3548387096774194,39.0
mucosal invariant T cell,0.8144329896907216,0.8777777777777778,0.8449197860962567,90.0
naive B cell,0.9128205128205128,0.9319371727748691,0.9222797927461139,191.0
non-classical monocyte,0.9705882352941176,0.9428571428571428,0.9565217391304348,105.0
plasmacytoid dendritic cell,1.0,0.9333333333333333,0.9655172413793104,15.0
regulatory T cell,0.8148148148148148,0.5116279069767442,0.6285714285714286,43.0
unswitched memory B cell,0.4819277108433735,0.6153846153846154,0.5405405405405406,65.0
accuracy,0.8566416040100251,0.8566416040100251,0.8566416040100251,0.8566416040100251
macro avg,0.7958331870852917,0.7402754054119108,0.7591615647578864,3990.0
weighted avg,0.8543775507799166,0.8566416040100251,0.8538765877675549,3990.0
