Class,Rank,Gene,Coefficient
"CD16-negative, CD56-bright natural killer cell, human",1,XCL2,0.118698016
"CD16-negative, CD56-bright natural killer cell, human",2,XCL1,0.11461031
"CD16-negative, CD56-bright natural killer cell, human",3,CLIC3,0.107405156
"CD16-negative, CD56-bright natural killer cell, human",4,NCR1,0.10703048
"CD16-negative, CD56-bright natural killer cell, human",5,KLRF1,0.100233525
"CD16-negative, CD56-bright natural killer cell, human",6,CD7,0.09997451
"CD16-negative, CD56-bright natural killer cell, human",7,TYROBP,0.097818464
"CD16-negative, CD56-bright natural killer cell, human",8,SH2D1B,0.09717247
"CD16-negative, CD56-bright natural killer cell, human",9,GZMK,0.09426839
"CD16-negative, CD56-bright natural killer cell, human",10,CMC1,0.08878038
"CD16-positive, CD56-dim natural killer cell, human",1,TYROBP,0.15739024
"CD16-positive, CD56-dim natural killer cell, human",2,CD7,0.14954072
"CD16-positive, CD56-dim natural killer cell, human",3,CLIC3,0.14372222
"CD16-positive, CD56-dim natural killer cell, human",4,SPON2,0.14334437
"CD16-positive, CD56-dim natural killer cell, human",5,SH2D1B,0.14319585
"CD16-positive, CD56-dim natural killer cell, human",6,GZMB,0.12830368
"CD16-positive, CD56-dim natural killer cell, human",7,IGFBP7,0.115406714
"CD16-positive, CD56-dim natural killer cell, human",8,GNLY,0.11464237
"CD16-positive, CD56-dim natural killer cell, human",9,FGFBP2,0.11381553
"CD16-positive, CD56-dim natural killer cell, human",10,AKR1C3,0.105052434
cell,1,TYMP,0.29205427
cell,2,TYMS,0.29196233
cell,3,MKI67,0.17689972
cell,4,GZMB,0.08402992
cell,5,GNLY,0.08191546
cell,6,FGFBP2,0.081175625
cell,7,GZMH,0.07991875
cell,8,PRF1,0.064482555
cell,9,NKG7,0.05720004
cell,10,HSPA5,0.050959084
"central memory CD4-positive, alpha-beta T cell",1,AB_CD4,0.15607788
"central memory CD4-positive, alpha-beta T cell",2,LTB,0.13899398
"central memory CD4-positive, alpha-beta T cell",3,LEF1,0.13757889
"central memory CD4-positive, alpha-beta T cell",4,LDHB,0.13596986
"central memory CD4-positive, alpha-beta T cell",5,SELL,0.105681516
"central memory CD4-positive, alpha-beta T cell",6,TCF7,0.09888858
"central memory CD4-positive, alpha-beta T cell",7,CADM2,0.056971196
"central memory CD4-positive, alpha-beta T cell",8,AC002454.1,0.05538413
"central memory CD4-positive, alpha-beta T cell",9,MTRNR2L1,0.054526314
"central memory CD4-positive, alpha-beta T cell",10,AC104129.1,0.051990837
"central memory CD8-positive, alpha-beta T cell",1,LINC02446,0.41161048
"central memory CD8-positive, alpha-beta T cell",2,CD8B,0.40139282
"central memory CD8-positive, alpha-beta T cell",3,CD8A,0.34771478
"central memory CD8-positive, alpha-beta T cell",4,PECAM1,0.15434283
"central memory CD8-positive, alpha-beta T cell",5,AIF1,0.1450614
"central memory CD8-positive, alpha-beta T cell",6,S100B,0.13009387
"central memory CD8-positive, alpha-beta T cell",7,AB_CD8,0.11750585
"central memory CD8-positive, alpha-beta T cell",8,LDHB,0.10903426
"central memory CD8-positive, alpha-beta T cell",9,LTB,0.10541634
"central memory CD8-positive, alpha-beta T cell",10,RPS4Y1,0.07396087
class switched memory B cell,1,LINC01781,0.13001588
class switched memory B cell,2,JCHAIN,0.129877
