Gene A,Gene B,Weight,In Prior
CD3D,CD3E,0.99998057,True
FTH1,FTL,0.99997735,True
CD8A,CD8B,0.9999765,True
S100A8,S100A9,0.999956,True
KLRC2,KLRC3,0.9999374,True
HLA-DPA1,HLA-DPB1,0.99993265,True
CD79A,CD79B,0.9999298,True
HLA-DPA1,HLA-DRA,0.9999238,True
HLA-DRA,HLA-DRB5,0.99992025,True
AHNAK,ANXA2,0.99991894,True
HLA-DRA,HLA-DRB1,0.9999174,True
HLA-DMA,HLA-DRA,0.9999163,True
HLA-DQA1,HLA-DQB1,0.9999144,True
MTRNR2L1,MTRNR2L12,0.9999131,True
XCL1,XCL2,0.9999119,True
HLA-DMA,HLA-DPA1,0.99990904,True
HLA-DMA,HLA-DRB1,0.99990726,True
RPL36A,RPS29,0.9998944,True
TMEM176A,TMEM176B,0.9998925,True
C1QB,C1QC,0.9998864,True
RPL17,RPS10,0.99987996,True
GNLY,GZMB,0.99987674,True
TNF,TNFAIP3,0.9998679,True
MTRNR2L1,MTRNR2L8,0.9998499,True
RPL17,RPS29,0.9998454,True
JUN,JUNB,0.99983585,True
RPL17,RPS26,0.9998336,True
IARS1,KARS1,0.9998336,True
C1QA,C1QB,0.99983275,True
SEPTIN6,SEPTIN9,0.99982965,True
NCF1,NCF2,0.99982613,True
MTRNR2L12,MTRNR2L8,0.9998211,True
MT-ATP8,MT-ND4L,0.9998196,True
MT1G,MT1H,0.99981636,True
IL1B,IL1R2,0.9998153,True
HBA1,HBA2,0.9998123,True
H2BC21,H3-3B,0.9998079,True
H3C12,H4C6,0.9998078,True
H2AC8,H4C6,0.9998062,True
H2AC18,H3C13,0.999806,True
H2AC20,H3-3B,0.99980587,True
IL1A,IL1B,0.99980587,True
H3C13,H4C6,0.99980575,True
H2AC18,H3C12,0.9998054,True
HBA2,HBB,0.99980515,True
H2AC20,H3C13,0.9998049,True
H2AC18,H4C6,0.9998048,True
H2BC21,H3C12,0.9998047,True
H2BC21,H4C6,0.99980444,True
S100A12,S100A8,0.9998043,True
