Gene A,Gene B,Weight,In Prior
CD8A,CD8B,0.9999659,True
CD3D,CD3E,0.99996257,True
FTH1,FTL,0.99995995,True
AHNAK,ANXA2,0.9999528,True
S100A8,S100A9,0.9999523,True
HLA-DPA1,HLA-DPB1,0.9999318,True
CD79A,CD79B,0.99993,True
KLRC2,KLRC3,0.9999285,True
RPL36A,RPS29,0.99992144,True
HLA-DPA1,HLA-DRA,0.99992025,True
HLA-DRA,HLA-DRB5,0.9999149,True
HLA-DRA,HLA-DRB1,0.99991477,True
HLA-DMA,HLA-DRA,0.999913,True
HLA-DQA1,HLA-DQB1,0.99991226,True
HLA-DMA,HLA-DPA1,0.9999064,True
HLA-DMA,HLA-DRB1,0.99990547,True
TMEM176A,TMEM176B,0.99988914,True
RPL17,RPS26,0.9998865,True
XCL1,XCL2,0.99988306,True
NCF1,NCF2,0.99988174,True
KLRC1,KLRD1,0.9998809,True
RPL17,RPS10,0.9998801,True
MTRNR2L1,MTRNR2L12,0.99985886,True
MTRNR2L1,MTRNR2L8,0.99985564,True
RPL36A,RPS26,0.9998517,True
