learning_rate,lambda_smooth,lambda_kl,lambda_en,alpha,accuracy,f1_macro,time,n_features
0.02,0.01,0.0,0.005,0.5,0.8468468468468469,0.7052998189415879,11.446808815002441,3000
0.05,0.1,0.0,0.05,0.5,0.776026026026026,0.5381827762788481,5.870985984802246,3000
0.01,0.001,0.01,0.1,0.5,0.7029529529529529,0.3737133823743381,5.41815185546875,3000
0.01,0.1,0.01,0.001,0.5,0.6456456456456456,0.3008542839782768,7.910475730895996,3000
0.01,0.0,0.1,0.005,0.5,0.8538538538538538,0.7368910916646164,9.318436861038208,3000
0.005,0.001,0.1,0.01,0.5,0.8375875875875876,0.697356656856023,14.394618272781372,3000
0.02,0.01,0.0,0.001,0.5,0.8561061061061062,0.7583192560784405,13.304951906204224,3000
0.01,0.01,0.01,0.05,0.5,0.7269769769769769,0.45517962142028184,5.977365016937256,3000
0.02,0.1,0.01,0.001,0.5,0.6476476476476476,0.2995164077145529,7.475045919418335,3000
0.01,0.01,0.001,0.02,0.5,0.7987987987987988,0.5579916232928567,6.824753046035767,3000
0.05,0.05,0.001,0.001,0.5,0.745995995995996,0.4963305616939078,6.038674831390381,3000
0.02,0.1,0.0,0.005,0.5,0.8485985985985987,0.7229175532618608,16.38629412651062,3000
0.01,0.01,0.0,0.005,0.5,0.8478478478478478,0.7159638061987443,23.156348943710327,3000
0.005,0.01,0.1,0.1,0.5,0.6646646646646647,0.3051227123244162,7.15512490272522,3000
0.01,0.01,0.01,0.02,0.5,0.7885385385385385,0.5528280546662393,7.307140111923218,3000
0.02,0.05,0.0001,0.01,0.5,0.8155655655655656,0.6491956601466242,14.933811902999878,3000
0.02,0.01,0.0001,0.001,0.5,0.8516016016016016,0.7477211077694467,23.751878023147583,3000
0.005,0.05,0.0,0.01,0.5,0.8363363363363363,0.7023023532128954,60.87517809867859,3000
0.005,0.001,0.1,0.005,0.5,0.8506006006006006,0.7161090475763771,14.221386909484863,3000
0.02,0.001,0.1,0.001,0.5,0.8551051051051051,0.725926307130083,7.304535865783691,3000
